item,Quantity,Unit Cost (USD),Total Cost (USD),Link,Notes
Bambu Lab Mouse Kit,1,14.28,14.28,https://ar.aliexpress.com/i/1005007239749404.html?gatewayAdapt=glo2ara,Main electronics + hardware kit
PLA Filament (3D Printed Parts),1,7.8,7.8,https://www.instagram.com/bim3d.om/,Estimated amount given by my local 3d printer buisness(more with delivery)
